Шоколад	5.4	35.3	56.5	544
Шоколад Kinder сюрприз	Шоколад Kinder сюрприз	8.6	32.9	53.0	543
Шоколад KitKat	Шоколад KitKat	6.3	28.2	61.1	524
Шоколад KitKat King Size	Шоколад KitKat King Size	6.1	29.2	60.9	532
Шоколад KitKat Вкус Super Хруст	Шоколад KitKat Вкус Super Хруст	6.1	29.2	60.9	532
Шоколад Lindt Excellence 85% какао	Шоколад Lindt Excellence 85% какао	11.0	46.0	19.0	530
Шоколад Lindt Excellence 99% какао	Шоколад Lindt Excellence 99% какао	13.0	49.0	8.0	530
Шоколад M&M's с арахисом	Шоколад M&M's с арахисом	9.6	26.4	62.2	512
Шоколад M&M's с шоколадом	Шоколад M&M's с шоколадом	4.9	20.3	73.0	472
Шоколад M&M's со вкусом лесного ореха	Шоколад M&M's со вкусом лесного ореха	5.0	19.6	70.9	480
Шоколад M&M's со вкусом малины	Шоколад M&M's со вкусом малины	4.3	19.0	71.3	474
Шоколад Mars	Шоколад Mars	4.4	18.2	68.0	453
Шоколад Mars Max	Шоколад Mars Max	4.4	18.1	68.0	453
Шоколад Milka Choko Biscuit	Шоколад Milka Choko Biscuit	5.9	34.0	55.0	558
Шоколад Milka Oreo	Шоколад Milka Oreo	5.4	34.0	56.0	553
Шоколад Milka молочный	Шоколад Milka молочный	5.7	31.0	57.6	534
Шоколад Milka с фундуком	Шоколад Milka с фундуком	6.6	33.8	53.4	545
Шоколад Milka с фундуком и изюмом	Шоколад Milka с фундуком и изюмом	5.6	26.8	56.9	495
Шоколад Milka с цельным фундуком	Шоколад Milka с цельным фундуком	7.5	36.5	49.0	555
Шоколад MilkyWay	Шоколад MilkyWay	3.6	16.8	71.7	452
Шоколад MilkyWay 1+1	Шоколад MilkyWay 1+1	3.5	16.8	71.7	452
Шоколад MilkyWay Crispy Rolls	Шоколад MilkyWay Crispy Rolls	7.1	26.4	62.1	514
Шоколад MilkyWay Клубничный коктейль	Шоколад MilkyWay Клубничный коктейль	3.5	16.8	71.6	452
Шоколад Nestle After Eight	Шоколад Nestle After Eight	2.5	12.8	74.4	428
Шоколад Nestle for Men	Шоколад Nestle for Men	7.5	33.8	54.9	555
Шоколад Nestle for Men с фундуком	Шоколад Nestle for Men с фундуком	8.6	36.5	47.8	572
Шоколад Nestle for Men с цельным миндалем	Шоколад Nestle for Men с цельным миндалем	8.6	35.8	51.1	560
Шоколад Nestle Nesquik	Шоколад Nestle Nesquik	5.9	22.1	65.6	485
Шоколад Nue Bitter Chocolate Cocoa Bean	Шоколад Nue Bitter Chocolate Cocoa Bean	8.0	48.0	25.0	560
Шоколад Nue Milk Chocolate Gianduia	Шоколад Nue Milk Chocolate Gianduia	6.5	47.0	40.0	610
Шоколад Nuts Арахис	Шоколад Nuts Арахис	10.6	28.5	49.8	498
Шоколад Nuts Мегабайт	Шоколад Nuts Мегабайт	6.8	26.7	59.1	504
Шоколад Nuts Мегабайт новая нежная нуга	Шоколад Nuts Мегабайт новая нежная нуга	6.6	26.7	59.0	507
Шоколад Nuts Ореховый Тюнинг	Шоколад Nuts Ореховый Тюнинг	6.8	26.6	59.1	504
Шоколад O'Zera Carenero Superior 97.7%	Шоколад O'Zera Carenero Superior 97.7%	13.8	46.7	17.6	573
Шоколад Okasi с зелёным чаем матча	Шоколад Okasi с зелёным чаем матча	0.0	34.6	54.2	563
Шоколад Okasi с фиолетовым бататом	Шоколад Okasi с фиолетовым бататом	8.0	42.0	48.0	563
Шоколад Picnic	Шоколад Picnic	7.4	28.8	56.6	504
Шоколад Picnic Мега	Шоколад Picnic Мега	7.4	28.8	56.6	504
Шоколад Picnic Мега Грецкий орех	Шоколад Picnic Мега Грецкий орех	4.2	33.2	41.7	473
Шоколад RED молочный с фундуком и макадамией без сахара	Шоколад RED молочный с фундуком и макадамией без сахара	8.0	28.0	41.0	383
Шоколад RED тёмный классический без сахара	Шоколад RED тёмный классический без сахара	4.7	24.0	33.0	286
Шоколад Ritter Sport Schokowurfel	Шоколад Ritter Sport Schokowurfel	7.0	37.0	50.0	562
Шоколад Ritter Sport белый с цельным лесным орехом	Шоколад Ritter Sport белый с цельным лесным орехом	8.4	39.9	47.6	583
Шоколад Ritter Sport горький с какао из Папуа Новая Гвинея	Шоколад Ritter Sport горький с какао из Папуа Новая Гвинея	6.2	32.1	52.6	524
Шоколад Ritter Sport горький с нежным кремом à la Mousse au Chocolat	Шоколад Ritter Sport горький с нежным кремом à la Mousse au Chocolat	6.6	35.9	46.4	535
Шоколад Ritter Sport горький с элитным какао из Эквадора	Шоколад Ritter Sport горький с элитным какао из Эквадора	8.3	44.6	31.0	558
Шоколад Ritter Sport зимний Апельсин-Марципан	Шоколад Ritter Sport зимний Апельсин-Марципан	6.0	27.0	57.0	497
Шоколад Ritter Sport зимний Ванильный Рогалик	Шоколад Ritter Sport зимний Ванильный Рогалик	6.0	38.0	52.0	571
Шоколад Ritter Sport зимний Карамель-Миндаль	Шоколад Ritter Sport зимний Карамель-Миндаль	7.0	31.0	57.0	532
Шоколад Ritter Sport молочный с альпийским молоком	Шоколад Ritter Sport молочный с альпийским молоком	8.3	31.4	55.6	538
Шоколад Ritter Sport молочный с вишней Амарена	Шоколад Ritter Sport молочный с вишней Амарена	5.0	38.6	52.0	574
Шоколад Ritter Sport молочный с карамелью и орехом	Шоколад Ritter Sport молочный с карамелью и орехом	7.5	36.6	50.4	561
Шоколад Ritter Sport молочный с клубникой в йогурте	Шоколад Ritter Sport молочный с клубникой в йогурте	6.3	37.7	52.4	570
Шоколад Ritter Sport молочный с кокосовой начинкой	Шоколад Ritter Sport молочный с кокосовой начинкой	7.0	41.0	48.0	584
Шоколад Ritter Sport молочный с кукурузными хлопьями	Шоколад Ritter Sport молочный с кукурузными хлопьями	6.4	28.0	60.5	519
Шоколад Ritter Sport молочный с лесным орехом и калифорнийским изюмом	Шоколад Ritter Sport молочный с лесным орехом и калифорнийским изюмом	6.9	29.1	55.9	513
Шоколад Ritter Sport молочный с миндалем из Калифорнии	Шоколад Ritter Sport молочный с миндалем из Калифорнии	11.0	36.8	45.4	557
Шоколад Ritter Sport молочный с нежным йогуртом	8.7	38.1	48.4	571
Шоколад Ritter Sport молочный с нежным кремом Капучино	Шоколад Ritter Sport молочный с нежным кремом Капучино	6.3	40.5	48.6	584
Шоколад Ritter Sport молочный с орехом, изюмом и ямайским ромом	Шоколад Ritter Sport молочный с орехом, изюмом и ямайским ромом	7.3	30.8	54.3	524
Шоколад Ritter Sport молочный с печеньем	Шоколад Ritter Sport молочный с печеньем	6.0	34.0	55.0	545
Шоколад Ritter Sport молочный с цельным лесным орехом	Шоколад Ritter Sport молочный с цельным лесным орехом	7.0	38.0	47.0	559
Шоколад Ritter Sport молочный Эспрессо	Шоколад Ritter Sport молочный Эспрессо	6.0	39.0	47.2	561
Шоколад Ritter Sport темный с благородным марципаном	Шоколад Ritter Sport темный с благородным марципаном	7.5	27.4	55.8	500
Шоколад Ritter Sport темный с мятой	Шоколад Ritter Sport темный с мятой	4.0	27.0	58.0	493
Шоколад Ritter Sport темный с цельным лесным орехом	Шоколад Ritter Sport темный с цельным лесным орехом	8.0	38.7	44.7	559
Шоколад Roshen Брют 78% горький	Шоколад Roshen Брют 78% горький	10.0	43.0	25.0	550
Шоколад Royal Forest из кэроба Апельсин Имбирь Корица	Шоколад Royal Forest из кэроба Апельсин Имбирь Корица	9.0	41.0	32.0	538
Шоколад Royal Forest из кэроба Лесной орех	Шоколад Royal Forest из кэроба Лесной орех	12.0	46.0	24.0	560
Шоколад Royal Forest из кэроба Ягода Годжи и Изюм	Шоколад Royal Forest из кэроба Ягода Годжи и Изюм	11.0	37.0	32.0	512
Шоколад Snickers	Шоколад Snickers	9.3	27.9	54.6	507
Шоколад Snickers Mad Mix с семечками	Шоколад Snickers Mad Mix с семечками	9.4	32.0	51.7	533
Шоколад Snickers Super	Шоколад Snickers Super	9.6	27.8	54.4	506
Шоколад Snickers с лесным орехом	Шоколад Snickers с лесным орехом	7.5	28.5	56.0	514
Шоколад Snickers с миндалем	Шоколад Snickers с миндалем	8.0	27.7	56.2	509
Шоколад Snickers с семечками	Шоколад Snickers с семечками	8.8	31.5	53.0	536
Шоколад Twix	Шоколад Twix	5.0	25.0	63.0	496
Шоколад Twix 'Xtra	Шоколад Twix 'Xtra	4.8	24.9	63.2	497
Шоколад Twix Белый	Шоколад Twix Белый	4.9	25.2	63.7	503
Шоколад Twix Капучино	Шоколад Twix Капучино	4.9	24.9	62.9	496
Шоколад Twix Кофе-Сливки	Шоколад Twix Кофе-Сливки	4.9	24.9	62.9	496
Шоколад Twix Шоколадный Мокко	Шоколад Twix Шоколадный Мокко	4.9	24.9	62.9	496
Шоколад Wispa пористый молочный	Шоколад Wispa пористый молочный	7.3	31.6	56.0	506
Шоколад Априори Ассорти горького шоколада	Шоколад Априори Ассорти горького шоколада	10.6	44.4	28.9	558
Шоколад Бабаевский Горький	Шоколад Бабаевский Горький	8.0	36.0	46.8	540
Шоколад Бабаевский Горький с фундуком	Шоколад Бабаевский Горький с фундуком	7.8	42.9	42.5	583
Шоколад Бабаевский Горький с фундуком и изюмом	Шоколад Бабаевский Горький с фундуком и изюмом	6.2	34.3	49.1	524
Шоколад Бабаевский Горький с целым миндалём	Шоколад Бабаевский Горький с целым миндалём	8.3	40.9	43.2	570
Шоколад Бабаевский Люкс	Шоколад Бабаевский Люкс	5.4	36.2	51.8	549
Шоколад Бабаевский Оригинальный	Шоколад Бабаевский Оригинальный	6.9	36.0	52.1	552
Шоколад Бабаевский с изюмом	Шоколад Бабаевский с изюмом	6.6	30.6	52.9	507
Шоколад Бабаевский с кусочками вишни	Шоколад Бабаевский с кусочками вишни	5.8	30.5	57.6	524
Шоколад Бабаевский Элитный 75%	Шоколад Бабаевский Элитный 75%	10.8	38.6	37.0	545
Шоколад белый	Шоколад белый	4.2	30.4	62.2	541
Шоколад белый с кокосом	Шоколад белый с кокосом	7.3	35.0	54.6	562
Шоколад Вдохновение классический	Шоколад Вдохновение классический	7.4	42.2	43.4	579
Шоколад Воздушный пористый белый с фундуком	Шоколад Воздушный пористый белый с фундуком	5.0	32.6	58.6	550
Шоколад Воздушный пористый молочный	Шоколад Воздушный пористый молочный	5.7	27.9	61.4	522
Шоколад Воздушный пористый тёмный	Шоколад Воздушный пористый тёмный	5.7	28.5	58.7	517
Шоколад горький	Шоколад горький	6.2	35.4	48.2	539
Шоколад Коммунарка горький 68%	Шоколад Коммунарка горький 68%	8.4	40.9	40.0	567
Шоколад Корона Экстра чёрный	Шоколад Корона Экстра чёрный	9.1	40.9	33.1	541
Шоколад молочный	Шоколад молочный	6.9	35.7	54.4	550
Шоколад Победа вкуса 36% молочный	Шоколад Победа вкуса 36% молочный	12.0	32.0	34.0	470
Шоколад Победа вкуса 72% горький	Шоколад Победа вкуса 72% горький	10.0	36.0	36.0	510
Шоколад Победа вкуса 72% горький со стевией	Шоколад Победа вкуса 72% горький со стевией	10.0	36.0	25.0	460
Шоколад Россия Очень Молочный	Шоколад Россия Очень Молочный	5.2	32.3	58.9	551
Шоколад с орехами	Шоколад с орехами	6.6	40.9	49.9	580
Шоколад Спартак 90% горький	Шоколад Спартак 90% горький	15.0	41.0	26.0	540
Шоколад Шок	Шоколад Шок	10.5	26.1	53.5	491
Шоколад Шок XXL	Шоколад Шок XXL	9.9	26.3	55.2	497
Шоколад Шок XXL миндаль	Шоколад Шок XXL миндаль	7.0	23.3	61.1	482
Шоколадные дропсы	Шоколадные дропсы	5.0	27.5	57.0	510
